species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,mother,father,transfers,currently,region,status,statusDate,COD,notes,transferDate,transfer,entryDate\
Bottlenose,"NOA0004614, AZA 428, MLF-428",Dazzle,F,a,1989,Born,4/7/89,Marineland Florida,Betty III,Davy II,NA,Marineland Florida,US,Alive,NA,NA,NA,NA,US,1989-04-07\
Bottlenose,"NOA0004386, AZA 138, IDR-73-1",Tursi,F,a,1973,Born,11/26/73,Dolphin Research Center,Little Bit,Mr. Gipper,NA,Dolphin Research Center,US,Alive,NA,NA,NA,NA,US,1973-11-26\
Bottlenose,"NOA0002137, SWC-TTG-7816",Starbuck,M,a,1978,Born,5/13/78,SeaWorld San Diego,Cindy (T.t. gilli),Sambo,SeaWorld San Diego to SeaWorld Aurora (??-???-1983) to SeaWorld San Diego (??-???-1983) to SeaWorld Aurora (??-???-1985) to SeaWorld San Diego (??-???-1985) to SeaWorld Orlando (< Nov 1987) to SeaWorld San Antonio (< 1991) to Busch Gardens Tampa (1991 / 1992) to National Aquarium in Baltimore (11-Oct-1992) to SeaWorld Aurora (22-Oct-1997) to SeaWorld San Antonio (26-Apr-1998) to SeaWorld Orlando (03-Apr-2000) to Busch Gardens Tampa (28-Sep-2000) to SeaWorld Orlando (19-Apr-2001),SeaWorld Orlando,US,Alive,NA,NA,NA,NA,US,1978-05-13\
Bottlenose,"NOA0002690, SWF-TT-7903",Sandy,F,a,1979,Born,2/3/79,SeaWorld Orlando,Gigi,NA,SeaWorld Orlando to SeaWorld San Diego (< Aug 1986),SeaWorld San Diego,US,Alive,NA,NA,NA,NA,US,1979-02-03\
Bottlenose,"NOA0004418, AZA 242, SWF-TT-7904, MH-82-36-TT (New England Aquarium)",Sandy,M,a,1979,Born,8/15/79,SeaWorld Orlando,Wendy,NA,SeaWorld Orlando to New England Aquarium (22-Feb-1982) to Dolphin Research Center (23-Oct-1991),Dolphin Research Center,US,Alive,NA,NA,NA,NA,US,1979-08-15\
Bottlenose,"NOA0002725, SWC-TT-8014",Nacha,F,a,1980,Born,10/10/80,SeaWorld San Diego,Notchfin,Jethro (T.t. gilli),SeaWorld San Diego to SeaWorld Aurora (< 1987) to SeaWorld San Antonio (13-Oct-1990?),SeaWorld San Antonio,US,Alive,NA,NA,NA,NA,US,1980-10-10\
Bottlenose,"NOA0005036, MH-86-181-TT",Kama,M,a,1981,Born,3/27/81,SeaWorld San Diego,Jiffy,Jethro (T.t. gilli),SeaWorld San Diego to New England Aquarium (22-Oct-1986) to U.S. Navy MMP (17-Nov-1987),U.S. Navy,US,Alive,NA,NA,NA,NA,US,1981-03-27\
Bottlenose,"NOA0002746, SWF-TT-8106",Jenever,F,a,1981,Born,10/20/81,SeaWorld Orlando,Wendy,NA,SeaWorld Orlando to SeaWorld San Antonio (< 1991) to SeaWorld Orlando (03-Apr-2000),SeaWorld Orlando,US,Alive,NA,NA,NA,NA,US,1981-10-20\
Bottlenose,"NOA0002766, AZA 313, SWC-TT-8228",Duffy,M,a,1982,Born,10/16/82,SeaWorld San Diego,Priscilla,Clicker,SeaWorld San Diego to SeaWorld Aurora (15-Apr-2000) to SeaWorld Orlando (17-Feb-2001) to Theater of the Sea (28-Jun-2005),Theater of the Sea,US,Alive,NA,NA,NA,NA,US,1982-10-16\
Bottlenose,"NOA0002784, AZA 334, SWC-TTG-8326 ",Astra,F,a,1983,Born,3/7/83,SeaWorld San Diego,Cindy,Clicker,SeaWorld San Diego to SeaWorld Aurora (??-???-????) to Unknown History (SeaWorld) to SeaWorld Orlando (??-???-????) to Discovery Cove (~ Feb 2000),Discovery Cove,US,Alive,NA,NA,NA,NA,US,1983-03-07\
Bottlenose,"NOA0004607, AZA 362, MLF-410",Sunny,M,a,1984,Born,1/12/84,Marineland Florida,Nellie,Rusty (blonde),NA,Marineland Florida,US,Alive,NA,NA,"Sunny was originally nicknamed ""Jan""",NA,US,1984-01-12\
Bottlenose,"NOA0002803, SWC-TT-8426",Yoyo,F,a,1984,Born,3/6/84,SeaWorld San Diego,Maggie,Gouda,SeaWorld San Diego to SeaWorld San Antonio (< 1991),SeaWorld San Antonio,US,Alive,NA,NA,NA,NA,US,1984-03-06\
Bottlenose,"NOA0002802, AZA, SWF-TT-8402",Phil,M,a,1984,Born,8/12/84,SeaWorld Orlando,Tanya,Ralph,SeaWorld Orlando to SeaWorld San Diego (19-Feb-1988) to SeaWorld Orlando (19-Apr-2001) to Busch Gardens Tampa (19-Apr-2001) to SeaWorld Orlando (04-Mar-2002),SeaWorld Orlando,US,Alive,NA,NA,NA,NA,US,1984-08-12\
Bottlenose,"NOA0004396, AZA 367, DRC-BC-84-5 ",Merina,F,a,1984,Born,11/21/84,Dolphin Research Center,Bee,Delphi,NA,Dolphin Research Center,US,Alive,NA,NA,NA,NA,US,1984-11-21\
Bottlenose,"NOA0004398, AZA 369, DRC-BC-84-6 ",Aleta,F,a,1984,Born,12/21/84,Dolphin Research Center,Misty,Delphi,NA,Dolphin Research Center,US,Alive,NA,NA,NA,NA,US,1984-12-21\
Bottlenose,"NOA0004403, AZA 407, DRC-BC-86-1 ",Santini,F,a,1986,Born,11/30/86,Dolphin Research Center,Theresa,Delphi,NA,Dolphin Research Center,US,Alive,NA,NA,NA,NA,US,1986-11-30\
Bottlenose,"NOA0000686, AZA 409, 910046",Allie,F,a,1987,Born,4/1/87,Dolphin Connection,April,Merlin,Dolphin Connection to Brookfield Zoo (29-Jun-1991) to Dolphin Connection (05-Apr-2000) to Minnesota Zoo (14-Jan-2008) to Brookfield Zoo (04-Oct-2012),Brookfield Zoo,US,Alive,NA,NA,NA,NA,US,1987-04-01\
